item1_err_uml,item1_err_uml_syntax,item1_err_lemma,item1_err_lemma_syntax,item1_err_mutual,item2_version,item3_semester,item4_previousdegree,item5_xp_dev,item6_xp_modeling,item7_xp_uml,item8_skill_uml,item9_xp_mde,item10_skill_mde,item11a_known_modeling_lang,item11b_known_modeling_lang,item11c_known_modeling_lang,item11d_known_modeling_lang,item11e_known_modeling_lang,item12_lemma,item13_lemma,item14_lemma,item15_lemma,item16_lemma,item17_lemma,item18_lemma,item19_lemma,item20_lemma,item21_lemma,item22_lemma,item23_lemma,item24_lemma,item25_lemma,item26_uml,item27_uml,item28_uml,item29_uml,item30_uml,item31_uml,item32_uml,item33_uml,item34_uml,item35_uml,item36_uml,item37_uml,item38_uml,item39_uml,item40_compare,item41_compare,item42_compare,item43_compare
2,0,2,0,1,A,1,PI,10,3,8,3,0,4,,,,,,3,3,4,3,4,3,5,2,3,2,4,4,4,5,2,2,2,3,2,2,2,2,2,3,2,2,2,2,UML,LEMMA,UML,UML
3,0,3,0,3,B,2,PI,7,2,5,2,4,2,UML,,,,,2,1,3,3,4,3,3,1,4,4,2,1,1,2,2,2,2,5,2,2,2,4,3,2,2,5,4,3,,Both,LEMMA,Both
6,0,4,0,2,B,2,PI,3,2,3,2,0,0,UML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2,11,0,9,A,3,WI,1,4,1,3,0,5,UML,,,,,2,2,4,4,4,3,3,2,2,3,2,2,1,2,2,1,3,3,1,3,2,3,1,4,2,2,1,2,LEMMA,Both,UML,LEMMA
11,1,7,0,6,B,2,PI,8,2,4,2,0,3,UML,,,,,2,2,2,4,3,2,3,3,3,3,2,1,3,2,2,2,1,5,2,2,3,2,4,2,2,5,3,3,LEMMA,Both,UML,LEMMA
12,1,10,0,8,B,4,PI,9,4,7,4,0,6,,,,,,2,1,1,5,3,2,2,3,3,3,1,1,3,1,4,3,6,2,5,3,2,4,3,3,3,2,2,3,LEMMA,LEMMA,LEMMA,Both
12,2,5,0,4,A,3,PI,4,2,2,3,0,3,UML,,,,,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,3,3,3,2,2,2,2,4,2,3,2,2,LEMMA,Both,LEMMA,LEMMA
1,0,0,0,0,A,3,WI,2,2,5,3,1,3,UML,,,,,3,2,2,5,3,3,2,3,3,2,2,2,2,2,2,1,2,3,2,2,1,2,2,4,3,2,2,2,UML,UML,UML,UML
2,0,0,0,0,B,1,PI,2,4,3,2,0,3,UML,,,,,2,2,3,5,3,2,4,3,4,3,3,4,4,5,1,1,3,4,4,2,1,4,2,4,1,2,2,2,UML,Both,Both,UML
4,0,2,0,2,A,0,PI,3,5,3,3,3,4,UML,CUSTOM DSL,,,,3,2,2,6,4,3,3,2,3,2,3,3,1,3,2,3,3,5,3,2,2,4,3,4,3,2,3,3,LEMMA,LEMMA,LEMMA,Both
7,0,2,0,2,B,5,PI,5,3,5,3,0,4,UML,CUSTOM DSL,,,,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,LEMMA,Both,Both,Both
6,1,,,,B,1,PI,3,2,3,2,0,5,,,,,,2,2,2,3,2,2,3,2,3,2,2,2,2,2,2,2,1,6,1,1,1,4,3,6,2,2,2,2,UML,LEMMA,UML,LEMMA
3,1,1,0,1,B,1,PI,4,2,3,2,3,2,UML,,,,,2,2,2,2,4,3,4,5,3,3,3,3,3,3,2,2,2,4,2,2,2,4,3,3,2,2,3,3,LEMMA,LEMMA,UML,UML
10,0,3,0,3,B,4,PI,,4,6,4,0,6,UML,,,,,3,3,2,5,3,2,5,4,3,3,3,3,3,3,4,3,4,3,4,4,3,4,3,4,4,4,3,4,LEMMA,Both,LEMMA,Both
7,0,4,0,4,A,2,OTHER,6,3,4,3,1,3,CUSTOM DSL,,,,,3,2,1,5,2,1,5,4,5,3,3,5,4,4,5,4,4,3,4,3,5,5,4,4,5,5,5,5,LEMMA,LEMMA,LEMMA,LEMMA
18,4,11,0,8,B,1,WI,1,5,1,4,0,6,EPC,UML,ERD,,,4,4,5,5,5,4,6,5,4,4,4,6,,,5,4,2,4,5,2,5,3,5,4,5,5,,,,UML,UML,UML
3,1,1,0,1,A,2,PI,8,3,6,3,0,5,,,,,,2,2,2,5,2,3,4,4,5,4,3,3,3,3,5,3,5,2,4,3,6,5,2,5,5,5,5,5,LEMMA,LEMMA,LEMMA,LEMMA
16,1,11,0,7,B,2,OTHER,5,3,5,3,1,3,UML,,,,,1,1,2,3,3,2,3,1,2,1,2,2,2,2,2,3,3,3,4,3,2,4,1,4,3,5,5,5,LEMMA,LEMMA,LEMMA,LEMMA
6,1,1,0,0,B,2,PI,3,2,4,2,2,3,CUSTOM DSL,CUSTOM DSL,CUSTOM DSL,CUSTOM DSL,,2,2,1,5,3,3,2,2,1,2,2,4,3,4,3,3,1,5,2,2,2,3,3,3,4,3,3,3,LEMMA,LEMMA,UML,UML
2,0,1,0,0,A,2,PI,7,2,7,2,1,3,,,,,,1,1,2,2,4,2,3,4,4,3,2,2,2,2,1,2,2,3,4,1,2,3,3,3,3,2,2,2,UML,Both,UML,UML
10,1,5,0,5,A,2,OTHER,6,2,6,2,2,3,UML,CUSTOM DSL,,,,1,1,2,6,1,1,1,3,5,2,1,1,3,3,2,4,2,3,4,2,3,3,1,4,4,5,4,4,LEMMA,LEMMA,LEMMA,LEMMA
6,1,3,0,3,A,3,PI,10,2,7,3,5,4,UML,,,,,2,2,2,4,3,2,2,3,4,3,2,1,3,2,2,3,2,3,3,2,2,3,4,4,3,2,3,3,LEMMA,LEMMA,Both,LEMMA
8,3,5,0,2,A,2,WI,5,4,5,4,2,4,RAML,UML,CUSTOM DSL,,,3,3,5,4,4,3,5,4,5,3,3,4,3,2,3,3,1,6,2,2,2,5,1,5,3,4,5,4,UML,UML,LEMMA,UML
8,1,5,0,3,A,2,PI,17,1,10,3,0,2,UML,CUSTOM DSL,,,,2,3,4,4,5,3,3,3,2,2,3,3,2,,2,2,2,6,3,1,2,3,3,3,2,2,2,2,UML,Both,UML,LEMMA
17,1,10,0,3,B,2,PI,3,3,3,2,0,3,UML,,,,,1,1,3,6,3,3,1,3,3,1,1,3,2,2,1,1,1,6,2,2,1,2,6,6,3,3,1,1,LEMMA,Both,UML,LEMMA
1,0,1,0,1,A,1,PI,3,,4,,0,5,UML,,,,,1,1,1,4,3,2,2,3,5,3,2,2,2,2,2,2,1,5,4,2,2,3,2,5,3,2,,3,UML,Both,LEMMA,UML
7,6,1,0,0,A,3,PI,12,2,12,2,0,5,UML,BPMN,CUSTOM DSL,,,2,1,2,4,3,1,2,2,5,3,3,2,2,2,2,2,1,3,2,2,2,3,2,3,2,2,2,2,LEMMA,Both,LEMMA,LEMMA
3,0,3,0,2,A,3,OTHER,8,2,6,2,0,3,UML,CUSTOM DSL,,,,2,2,2,5,2,1,4,4,5,2,3,3,1,4,1,1,2,5,1,1,2,2,3,5,2,3,1,2,UML,UML,UML,Both
7,1,3,0,2,A,1,PI,10,1,8,2,3,3,UML,,,,,4,5,3,4,5,4,5,6,2,6,5,2,4,4,2,3,1,4,2,1,1,4,2,3,1,3,1,1,UML,Both,UML,LEMMA
4,0,2,0,2,B,1,PI,,3,1,3,0,4,UML,,,,,2,2,3,5,1,2,5,4,3,5,2,2,1,3,2,1,2,5,2,2,1,1,2,1,2,2,2,2,UML,LEMMA,Both,Both
2,0,1,0,1,B,3,PI,7,2,4,2,1,4,UML,,,,,2,2,2,5,2,2,2,3,4,2,2,2,2,2,2,2,2,3,3,2,1,3,3,4,2,3,2,2,LEMMA,Both,LEMMA,LEMMA
